Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10 uF,C_1206_3216Metric,128.400000,-122.400000,0.000000,bottom
C5,1 uF,C_0805_2012Metric,114.290000,-122.830000,270.000000,bottom
C6,10 uF,C_1206_3216Metric,133.350000,-120.396000,0.000000,bottom
D1,D_Bridge_+-AA,Diode_Bridge_Vishay_DFS,121.285000,-117.475000,270.000000,bottom
D3,D_x2_KCom_AAK,SOT-23-3,126.100000,-106.800000,270.000000,bottom
Q1,Q_NIGBT_GCE,TO-252-3_TabPin2,132.000000,-103.400000,90.000000,bottom
Q2,Q_NIGBT_GCE,TO-252-3_TabPin2,120.400000,-103.400000,90.000000,bottom
Q3,MMBF170,SOT-23,133.223000,-116.586000,180.000000,bottom
Q4,MMBF170,SOT-23,133.223000,-111.760000,180.000000,bottom
R1,R,R_2512_6332Metric,135.255000,-126.492000,90.000000,bottom
R2,10K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.047500,-102.425500,180.000000,bottom
R3,1K5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.047500,-99.377500,0.000000,bottom
